Unnamed: 17,Unnamed: 21,Unnamed: 27,Unnamed: 32,Unnamed: 40,Unnamed: 46,Unnamed: 54,Unnamed: 59,Unnamed: 66,Unnamed: 69,Unnamed: 74,Unnamed: 78
,1,,1,,,,1.0,CCPM,1,,
AHP による要求の順位付け手法？,MVCアーキテクチャ,1,API,All-Pairs法,CI,GitとGitHub,リエンジニアリング,CK Metrics?,SCRUM開発法,1,1
ERモデル,アーキテクチャ,Design Pattern,GUI,EclipseとJUnitの導入,GitとGitHub,Makefileの作成法,リバースエンジニアリング,CMM,Unified Process,SCRUM開発法,CI
ER図,アーキテクチャパターン,GoFパターン,GUIコンポーネント,インスペクション,システム構築,make,リファクタリング,CMMI,Webアプリケーション開発?,UMLによるモデリング,ISO認証
IEEE830 に基づく要求文書化？,アーキテクチャ設計,generic class,GUIプログラミング,ウォークスルー,ソフトウェアの管理,システム構築,レガシーシステム,COCOMO?,XP,UMLモデリング,インスペクション
UML,ソフトウェアアーキテクチャ,interface,GUI開発環境,カバレッジ,ソフトウェアテストの自動化,ソフトウェアの再利用,継続的インテグレーション,EVM,eXtreme Programming,XP,オブジェクト指向テスト
UMLによるモデリング？,ソフトウェアアーキテクチャ設計,polymorphism,Webフロント技術,カバレッジ(網羅率),ソフトウェア構成管理,ソフトウェアの管理,,Halstead's Complexity Metrics?,アジャイル,eXtreme Programming,カバレッジ
UMLのクラス？,ソフトウェアパターン？,アクセス制限,アルゴリズムとデータ構造,コードカバレッジメトリクス,ソフトウェア開発管理,ソフトウェア再利用,,McCabe's Cyclomatic Number?,アジャイルソフトウェア開発,アジャイル,カバレッジ(網羅率)
UML修法,並列分散アーキテクチャ,アスペクト指向,イベント処理,システムテスト,ソースコード管理,ソフトウェア構成管理,,McCall's Quality Factor?,アジャイルソフトウトウェア開発,アジャイルソフトウェア開発,システムの品質
VDM,情報アーキテクチャの設計,イベント駆動プログラミング,オブジェクト指向開発環境,システム検証,テスト自動化,ソフトウェア構築,,PERT,アジャイル開発,アジャイルソフトウトウェア開発,システムテスト
アクティビティ,開発システムアーキテクチャ設計,イベント駆動型プログラミング,クロス開発,スモークテスト,デプロイ,ソフトウェア開発管理,,PMBOK,アジャイル開発とScrum,アジャイル開発,スモークテスト
アクティビティ図,,インスタンス,コーディング,セキュリティテスト,デプロイメント,デプロイ,,PSP,アジャイル開発論,アジャイル開発とScrum,セキュリティテスト
オブジ ェクト図,,ウォーターフォール,コーディング作法,ソフトウェアのテスト,ドキュメンテーション,バージョンコントロール,,SW-CMM,ウォータフォールモデ ル,アジャイル開発論,ソフトウェアのテスト
オブジェクト図,,オブジェクト指向,コーディング標準,ソフトウェアのテスト・検証手法,バグ管理,バージョン管理,,TSP,ウォータフォールモデル,オブジェクト指向モデリング,ソフトウェアのテスト・検証手法
オブジェクト指向分析とその仕様化,,オブジェクト指向プログラミング,コーディング規約,ソフトウェアのテスト技法,バグ追跡システム,バージョン管理システム,,WBS,ウォータフォール型開発,オブジェクト指向分析・設計技法,ソフトウェアのテスト技法
クラスモデリング,,オブジェクト指向モデリング,システム構築,ソフトウェアの検証,バージョンコントロール,ビルド,,アローダイアグラム,ウォーターフォール,オブジェクト指向技法,ソフトウェアの保守
クラス図,,オブジェクト指向分析,スレッド,ソフトウェアテスト,バージョン管理,ビルドツール,,ウォータフォールモデ ル,ウォーターフォールモデル,オブジェクト指向設計?,ソフトウェアの保守と品質
コミュニケーション図,,オブジェクト指向分析・設計技法,スレッドプール,ソフトウェアテストと品質保証,バージョン管理システム,ライブラリ化,,ウォータフォールモデル,スクラム,オブジェクト指向設計法,ソフトウェアの保守・進化・再利用
コラボレーション図,,オブジェクト指向技法,ソフトウェアの再利用,ソフトウェアテストプロセス,ビルド,再利用,,ウォーターフォールモデル,スパイラルモデル,カーリーハワード対応,ソフトウェアの品質
コントロールフロー 図,,オブジェクト指向技術,ソフトウェアの規約・作法,ソフトウェアテスト・検査,プロジェクト管理,変更・構成・バージョン管理,,ガントチャート,ソフトウェアのライフサイクル,スクラム,ソフトウェアの性質
ゴール指向分析法,,オブジェクト指向指向,ソフトウェア実装,ソフトウェアテスト体系,リスク管理,変更管理,,コスト管理,ソフトウェアの開発工程,スパイラルモデル,ソフトウェアの検証
