シラバスID,番号,大学名,学科名,科目,,対象,状態,備考,Dropbox link,1. Software Requirements,2. Software Architecture,3. Software Design,4. Software Construction,5. Software Testing,6. Software Engineering Operations,8. Software Configuration Management,7. Software Maintenance,9. Software Engineering Management,10. Software Engineering Process,11. Software Engineering Models and Methods,12. Software Quality,近藤気になったワード
1,2,Carnegie Mellon University,COMPUTER SCIENCE,Software Foundations of Security and Privacy,https://15316-cmu.github.io/2023/index.html,,作業中,春秋,"Security and privacy issues in computer systems continue to be a pervasive issue in technology and society. Understanding the security and privacy needs of software, and being able to rigorously demonstrate that those needs are met, is key to eliminating vulnerabilities that cause these issues. Students who take this course will learn the principles needed to make these assurances about software, and some of the key strategies used to make sure that they are correctly implemented in practice. Topics include: policy models and mechanisms for confidentiality, integrity, and availability, language-based techniques for detecting and preventing security threats, mechanisms for enforcing privacy guarantees, and the interaction between software and underlying systems that can give rise to practical security threats. Students will also gain experience applying many of these techniques to write code that is secure by construction.",,,,write code that is secure by construction,,,,,,,,"assurances, vulnerabilities",
2,2,Carnegie Mellon University,ELECTRICAL & COMPUTER ENGINEERING,Secure Software Systems,,,,春のみ,"Poor software design and engineering are the root causes of most security vulnerabilities in deployed systems today. Moreover, with code mobility now commonplace--particularly in the context of web technologies and digital rights management--system designers are increasingly faced with protecting hosts from foreign software and protecting software from foreign hosts running it. This class takes a close look at software as a mechanism for attack, as a tool for protecting resources, and as a resource to be defended. Topics covered include the software design process; choices of programming languages, operating systems, databases and distributed object platforms for building secure systems; common software vulnerabilities, such as buffer overflows and race conditions; auditing software; proving properties of software; software and data watermarking; code obfuscation; tamper resistant software; and the benefits of open and closed source development. Students in 18-335 will share lectures and homeworks with students in 18-732. However, 18-732 has additional requirements not shared by 18-335, including the requirement to produce scribe notes and to practice and demonstrate the ability to read and summarize scientific papers on the topics covered by the course.",,,software design,,,,,,,,,vulnerabilities,
3,2,Carnegie Mellon University,ELECTRICAL & COMPUTER ENGINEERING,Full-Stack Software Development for Engineers,,,,春のみ,"This course will introduce the principles, concepts, technologies, and practices of full-stack software development for creating end-to-end web applications using a classical client-server architecture and the model-view-controller pattern. Students will acquire basic front-end and back-end development skills and learn how to apply modern development practices in the context of an individual hands-on project using the plain web stack for the front-end, TypeScript and a NoSQL database layer for the back-end, and other common libraries, light-weight frameworks, and tools as adjuncts. The course will also introduce the fundamental software development concepts including types, objects, multi-paradigm programming (functional and object-oriented), modularity, concurrent and asynchronous computation, basic security, authentication and authorization, dynamic updates, and databases. Students will practice how to version-control the codebase, manage a small project, transform requirements expressed as user stories into working software in an incremental manner, maintain code quality using static analysis tools, build their application on an integration server, and deploy it on the cloud. To enroll in this course, students must already be proficient in imperative programming using multiple languages and familiar with the basics of algorithms and data structures. Each student will need their own laptop computer to use in the course.",transform requirements expressed as user stories into working software,"client-server architecture, model-view-controller pattern",,modularity,,deploy,"version-control,build their application",,manage a small project,,,maintain code quality using static analysis tools,"client-server architecture and the model-view-controller pattern, front-end and back-end development skills, build their application"
4,2,Carnegie Mellon University,ENGLISH,Software Documentation,,,,春のみ,"This course teaches theory, techniques, and best practices for creating software documentation. We will learn to plan, architect, write, and publish audience-appropriate user assistance, while applying concepts and approaches like minimalism, topic-oriented authoring, single-source publishing, content reuse, and metadata. Students will complete homework assignments and larger projects to reinforce principles and provide experience in all phases of the software documentation lifecycle. Readings and class discussion will bridge theory and practice. This course is for juniors and seniors only.",creating software documentation,,,,,,,software documentation,,,,,
5,2,Carnegie Mellon University,HUMAN-COMPUTER INTERACTION,Designing Human Centered Software,https://www.hcii.cmu.edu/course/designing-human-centered-software,,,春秋,"Why are things so hard to use these days? Why doesn't this thing I just bought work? Why is this web site so hard to use? These are frustrations that we have all faced from systems not designed with people in mind. The question this course will focus on is: how can we design human-centered systems that people find useful and usable? This course is an introduction to designing, prototyping, and evaluating user interfaces. If you take only one course in Human-Computer Interaction, this is the course for you. This class is a core course for undergrads in the HCI Minor but open to all undergrads and grad students, with either technical or non-technical backgrounds. We will cover theory as well as practical application of ideas from Human-Computer Interaction. Course work includes lectures, class discussion, homework, class presentations, and group project. Students will need a prerequisite of a fundamental computer programming course. This course can only be taken synchronously. Students in the HCI Minor and SCS concentration have priority registration for this course for graduation requirement purposes. When registering for this course, undergraduate students are automatically placed the wait list.",,,human-centered systems,,,,,,,,,,
6,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,"Principles of Software Construction: Objects, Design, and Concurrency	",https://cmu-17-214.github.io/f2021/,,,春のみ,"Software engineers today are less likely to design data structures and algorithms from scratch and more likely to build systems from library and framework components. In this course, students engage with concepts related to the construction of software systems at scale, building on their understanding of the basic building blocks of data structures, algorithms, and program and computer structures. The course covers technical topics in four areas: (1) concepts of design for complex systems, (2) object-oriented programming, (3) static and dynamic analysis for programs, and (4) concurrency. At the conclusion of this course, students will have substantial experience building medium-sized software systems in Java. WAITLIST PROCESSING: Students with an SE minor will be considered first, followed by grade, and order you are on the waitlist.",,,object-oriented programming,construction of software systems,,,,,,,,,
7,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,Foundations of Software Engineering,,,,春秋,"Students gain exposure to the fundamental principles of software engineering. This includes both core CS technical knowledge and the means by which this knowledge can be applied in the practical engineering of complex software in real-world settings. Topics related to software artifacts include coding, software architecture, measurement, and quality assurance of various qualities (e.g., robustness, security, performance, maintainability) with static and dynamic analysis, testing, code review, and inspection. Topics related to software process include requirements engineering, process models and evaluation, personal and team development, and supply chain issues including outsourcing and open source. This course has a strong technical focus, a strong focus on developing team skills, and will include both written and programming assignments. Students will get experience with the latest software engineering tools and practices.",requirements engineering,software architecture,,coding,"testing, code review, and inspection",,,,,software process,,"measurement, quality assurance, testing",
8,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,Software Engineering for Startups,,,,春のみ,"Startup engineering is critical to innovation. The skills required to effectively prototype, launch, and scale products are vital to engineers everywhere, from fledgling companies founded in dorm rooms to local mid-size companies to internal startups from multi-national tech giants. However, developing software in a startup environment poses unique engineering challenges. These challenges include making and justifying foundational architectural and technical decisions despite extreme uncertainty; rapidly prototyping and evaluating new ideas and features, while building minimum viable products; prioritizing engineering effort in severely constrained environments; and communicating effectively both within a small engineering team and with internal and external non-technical stakeholders. This course teaches the skills necessary to engineer successfully in a startup environment, through lectures, group projects, case study discussions, and guest speakers drawn from experienced, practicing startup engineers. This is an engineering-focused course; no entrepreneurship background is required or expected. Students do not need to have a startup idea to participate fully.",,justifying foundational architectural and technical decisions,"rapidly prototyping, building minimum viable products",,,,,,,,,,
9,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,Software Engineering Practicum,,,,春秋,"This course is a project-based course in which students conduct a semester-long project for a real client in small teams. This is not a lecture-based course; after the first few weeks the course consists primarily of weekly team meetings with the course instructors, with teams making regular presentations on their software development process. Students will leave the course with a firsthand understanding of the software engineering realities that drive SE practices, will have concrete experience with these practices, and will have engaged in active reflection on this experience. After the course, students will have the teamwork, process, and product skills to be immediately competent in a software engineering organization, and will be able to evaluate the new processes and techniques they will encounter in the workplace.",,,,,,,,,,software development process,,,
10,2,Carnegie Mellon University,SOFTWARE & SOCIETAL SYSTEMS,Designing Large-scale Software Systems,,,,春のみ,"Design plays a crucial role in the success of a software product, as decisions made during the design stage have a long-lasting impact on qualities such as reliability, robustness, maintainability, scalability, and security. With the increasing use of AI-based programming tools (such as ChatGPT and Copilot), being able to effectively design large, complex software and reason about systems at scale will become highly sought-out skills in the software industry. This course teaches students how to design complex, large-scale software systems that are reliable, robust, and built to last. It introduces fundamental concepts and techniques for designing software to achieve qualities of a successful product (such as maintainability, scalability, and robustness) and to avoid catastrophic failures. After taking this course, students will be able to (1) systematically generate and explore design alternatives, (2) specify and evaluate design options using appropriate abstractions, and (3) communicate and critique design decisions with other members of large, multi-team organizations. The discussions of these concepts will be driven by case studies of past failures and successes in real-world software systems. The course will be hands-on and involve a semester-long project where the students will work in teams and collaborate with other teams to design, test, and deploy a complex software system. This course is aimed at both undergraduate and graduate students who are interested in the role of a software architect or designer in an organization.",,complex software system,generate and explore design,,,,,,,,,"impact on qualities such as reliability, robustness, maintainability, scalability, and security", AI-based programming tools (such as ChatGPT and Copilot)
